drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
quinidine,6474,57290,0.6137,NA,NA,NA,NA,16950,1.153,10340,1.282,NA,NA,330.3,0.8763
quinidine,6474,49880,0.5641,NA,NA,NA,NA,15530,1.375,10290,1.187,NA,NA,365.1,1.026
quinidine,6474,37460,0.648,NA,NA,NA,NA,10890,1.77,8534,1.629,NA,NA,353.8,1.115
quinidine,6474,45000,0.6098,NA,NA,NA,NA,12950,1.327,11070,1.183,NA,NA,251,0.7908
quinidine,6474,36350,0.6385,NA,NA,NA,NA,14410,1.157,8587,1.579,NA,NA,350.7,1.04
quinidine,6474,40870,0.6575,NA,NA,NA,NA,10590,1.787,9083,1.452,NA,NA,356.7,1.085
quinidine,6474,57420,0.5693,NA,NA,NA,NA,11840,1.782,9440,1.459,NA,NA,309.2,1.088
quinidine,6474,35910,0.6311,NA,NA,NA,NA,13920,1.396,8409,1.492,NA,NA,398.2,1.316
quinidine,6474,54980,0.5946,NA,NA,NA,NA,11890,1.379,9119,1.407,NA,NA,368.9,1.136
quinidine,6474,53320,0.5644,NA,NA,NA,NA,15760,1.179,11670,1.126,NA,NA,346.3,1.041
quinidine,6474,39850,0.6405,NA,NA,NA,NA,14490,1.219,10270,1.386,NA,NA,461.5,1.11
quinidine,6474,37480,0.6624,NA,NA,NA,NA,17240,1.122,11280,1.169,NA,NA,349.2,1.438
quinidine,6474,26110,0.7412,NA,NA,NA,NA,15810,1.252,9803,1.232,NA,NA,281.1,0.9145
quinidine,6474,135800,0.4466,NA,NA,NA,NA,15030,1.401,10480,1.174,NA,NA,291.8,0.9802
quinidine,6474,125100,0.461,NA,NA,NA,NA,11610,1.485,8536,1.458,NA,NA,368.4,1.77
quinidine,6474,60610,0.5597,NA,NA,NA,NA,11530,1.614,9678,1.272,NA,NA,327.4,0.917
quinidine,6474,56020,0.5723,NA,NA,NA,NA,14650,1.275,10780,1.156,NA,NA,379,0.9256
quinidine,6474,28050,0.75,NA,NA,NA,NA,18220,1.24,9909,1.393,NA,NA,331.6,0.9614
quinidine,6474,57410,0.5684,NA,NA,NA,NA,16450,1.134,8830,1.425,NA,NA,263.7,0.9737
quinidine,6474,61400,0.5502,NA,NA,NA,NA,12500,1.587,9918,1.297,NA,NA,295.4,1.308
quinidine,6474,52280,0.5692,NA,NA,NA,NA,13020,1.425,10620,1.201,NA,NA,229.6,0.8628
quinidine,6474,34210,0.6798,NA,NA,NA,NA,17750,1.101,10600,1.197,NA,NA,222.8,0.6328
quinidine,6474,34790,0.6669,NA,NA,NA,NA,9022,1.902,10560,1.239,NA,NA,191.2,0.6902
quinidine,6474,98520,0.4897,NA,NA,NA,NA,11440,1.479,8707,1.404,NA,NA,274.7,0.9953
quinidine,6474,49660,0.5756,NA,NA,NA,NA,21200,0.9406,9525,1.36,NA,NA,214.8,0.8638
quinidine,6474,56670,0.5803,NA,NA,NA,NA,34750,0.8195,10270,1.115,NA,NA,396.1,1.088
quinidine,6474,49220,0.625,NA,NA,NA,NA,24570,1.036,9695,1.312,NA,NA,311.7,1.066
quinidine,6474,64240,0.5497,NA,NA,NA,NA,11110,1.57,9739,1.302,NA,NA,358.6,1.047
quinidine,6474,45660,0.5745,NA,NA,NA,NA,13320,1.46,9896,1.225,NA,NA,304.8,1.089
quinidine,6474,47060,0.5955,NA,NA,NA,NA,14060,1.408,9849,1.231,NA,NA,346,1.012
quinidine,6474,39450,0.6324,NA,NA,NA,NA,9645,2.184,11540,1.065,NA,NA,344.7,0.9812
quinidine,6474,65180,0.5413,NA,NA,NA,NA,10340,1.942,10510,1.223,NA,NA,324.2,1.375
quinidine,6474,154100,0.4321,NA,NA,NA,NA,13940,1.43,9656,1.362,NA,NA,399,1.356
quinidine,6474,61300,0.5673,NA,NA,NA,NA,21290,0.9966,10380,1.222,NA,NA,162.4,0.8622
quinidine,6474,137100,0.4537,NA,NA,NA,NA,15130,1.341,9199,1.305,NA,NA,245.8,1.042
quinidine,6474,47380,0.6371,NA,NA,NA,NA,13280,1.389,9670,1.421,NA,NA,251.4,1.029
quinidine,6474,50580,0.5935,NA,NA,NA,NA,10490,1.843,9738,1.253,NA,NA,404.4,1.195
quinidine,6474,40940,0.6344,NA,NA,NA,NA,11850,1.516,9016,1.221,NA,NA,340.8,1.178
quinidine,6474,85800,0.4964,NA,NA,NA,NA,13180,1.399,8736,1.373,NA,NA,338.9,0.8052
quinidine,6474,63770,0.5546,NA,NA,NA,NA,16650,1.056,9621,1.385,NA,NA,338.2,0.9251
quinidine,6474,49950,0.5642,NA,NA,NA,NA,12030,1.355,10900,1.111,NA,NA,402.6,1.108
quinidine,6474,71360,0.5147,NA,NA,NA,NA,12700,1.465,11050,1.199,NA,NA,375.5,1.045
quinidine,6474,44740,0.63,NA,NA,NA,NA,12710,1.447,9004,1.358,NA,NA,282.6,0.9782
quinidine,6474,91080,0.4736,NA,NA,NA,NA,11520,1.602,8850,1.461,NA,NA,277.9,1.088
quinidine,6474,67560,0.5171,NA,NA,NA,NA,11020,1.759,10420,1.25,NA,NA,388,0.8885
quinidine,6474,26130,0.7538,NA,NA,NA,NA,12270,1.551,8010,1.826,NA,NA,360.5,1.2
quinidine,6474,28170,0.7101,NA,NA,NA,NA,12780,1.453,8593,1.516,NA,NA,334.2,0.8444
quinidine,6474,53710,0.5661,NA,NA,NA,NA,9131,2.006,9221,1.266,NA,NA,278.2,0.8808
quinidine,6474,63950,0.5345,NA,NA,NA,NA,23530,1.013,8436,1.582,NA,NA,410.6,1.053
quinidine,6474,51840,0.6129,NA,NA,NA,NA,19960,1.097,10320,1.145,NA,NA,357.9,1.027
quinidine,6474,57890,0.5533,NA,NA,NA,NA,16680,1.131,10080,1.354,NA,NA,366.6,1.144
quinidine,6474,35870,0.6586,NA,NA,NA,NA,16410,1.221,11520,1.15,NA,NA,391.9,0.9129
quinidine,6474,20200,0.8962,NA,NA,NA,NA,14610,1.297,8718,1.42,NA,NA,378.9,1.305
quinidine,6474,44370,0.6121,NA,NA,NA,NA,11220,1.656,9414,1.488,NA,NA,357.5,1.019
quinidine,6474,52370,0.5832,NA,NA,NA,NA,12680,1.402,8474,1.452,NA,NA,353.1,0.9658
quinidine,6474,33450,0.7286,NA,NA,NA,NA,10130,1.941,9302,1.402,NA,NA,287.1,0.9555
quinidine,6474,60930,0.5513,NA,NA,NA,NA,15180,1.426,8073,1.68,NA,NA,290.7,0.8316
quinidine,6474,55320,0.5706,NA,NA,NA,NA,11370,1.591,9232,1.35,NA,NA,362.1,1.129
quinidine,6474,72280,0.5432,NA,NA,NA,NA,11100,1.967,9047,1.4,NA,NA,281.9,0.6778
quinidine,6474,40780,0.674,NA,NA,NA,NA,15100,1.173,9332,1.403,NA,NA,334.3,0.8876
quinidine,6474,52210,0.5899,NA,NA,NA,NA,14230,1.239,13240,0.9686,NA,NA,332.4,1.086
quinidine,6474,44790,0.621,NA,NA,NA,NA,12720,1.403,14320,0.9498,NA,NA,387.3,0.864
quinidine,6474,40220,0.648,NA,NA,NA,NA,16520,1.222,14760,0.9697,NA,NA,404,1.085
quinidine,6474,51780,0.6011,NA,NA,NA,NA,10210,1.697,8205,1.712,NA,NA,371.5,0.9923
quinidine,6474,50460,0.5672,NA,NA,NA,NA,19990,1.007,12000,1.123,NA,NA,289.8,0.9123
quinidine,6474,41520,0.586,NA,NA,NA,NA,10070,1.838,11060,1.128,NA,NA,329.8,0.8338
quinidine,6474,99940,0.4675,NA,NA,NA,NA,10490,1.914,7717,1.95,NA,NA,284.5,0.9038
quinidine,6474,200600,0.4036,NA,NA,NA,NA,11340,1.582,11040,1.211,NA,NA,336.4,1.116
quinidine,6474,50470,0.5816,NA,NA,NA,NA,12540,1.451,9632,1.312,NA,NA,376.7,0.988
quinidine,6474,60360,0.5432,NA,NA,NA,NA,14160,1.305,8780,1.43,NA,NA,342.4,1.052
quinidine,6474,30470,0.6999,NA,NA,NA,NA,11270,1.684,10110,1.232,NA,NA,327.7,1.044
quinidine,6474,125200,0.5114,NA,NA,NA,NA,12000,1.642,10980,1.168,NA,NA,291.5,1.061
quinidine,6474,36990,0.6905,NA,NA,NA,NA,10110,2.069,10590,1.136,NA,NA,391.8,1.372
quinidine,6474,50140,0.6009,NA,NA,NA,NA,9655,2.096,12140,0.9966,NA,NA,310.7,0.9024
quinidine,6474,73550,0.5375,NA,NA,NA,NA,14250,1.383,8992,1.522,NA,NA,309.3,0.8734
quinidine,6474,25870,0.7449,NA,NA,NA,NA,18950,1.133,7804,1.695,NA,NA,357.7,0.9906
quinidine,6474,30600,0.7198,NA,NA,NA,NA,9978,1.98,8670,1.485,NA,NA,362.5,1.415
quinidine,6474,43720,0.6256,NA,NA,NA,NA,10620,1.794,11390,1.134,NA,NA,357.6,0.9652
quinidine,6474,38610,0.6469,NA,NA,NA,NA,12550,1.591,9120,1.451,NA,NA,346.5,0.9466
quinidine,6474,46630,0.6299,NA,NA,NA,NA,14670,1.328,8076,1.567,NA,NA,291.3,0.9416
quinidine,6474,56670,0.5713,NA,NA,NA,NA,9975,1.959,9572,1.314,NA,NA,441.3,1.149
quinidine,6474,152300,0.4281,NA,NA,NA,NA,11980,1.442,9479,1.406,NA,NA,317.7,1.011
quinidine,6474,55380,0.5482,NA,NA,NA,NA,9301,2.168,9899,1.119,NA,NA,296.2,1.031
quinidine,6474,103400,0.4918,NA,NA,NA,NA,13290,1.349,10380,1.196,NA,NA,310.2,0.9987
quinidine,6474,57380,0.5673,NA,NA,NA,NA,9450,1.993,10110,1.264,NA,NA,318.7,1.153
quinidine,6474,43890,0.6215,NA,NA,NA,NA,9544,2.017,8065,1.488,NA,NA,392.2,1.094
quinidine,6474,32030,0.7412,NA,NA,NA,NA,12100,1.466,8309,1.587,NA,NA,239.6,0.5963
quinidine,6474,45240,0.593,NA,NA,NA,NA,11590,1.605,9294,1.473,NA,NA,332.8,1.334
quinidine,6474,42220,0.6506,NA,NA,NA,NA,11050,1.624,8331,1.471,NA,NA,350.3,1.106
quinidine,6474,33140,0.6861,NA,NA,NA,NA,12250,1.529,8598,1.538,NA,NA,368.6,1.124
quinidine,6474,43940,0.6375,NA,NA,NA,NA,14900,1.3,9226,1.389,NA,NA,260.5,0.6712
quinidine,6474,35480,0.6586,NA,NA,NA,NA,10910,1.655,10220,1.291,NA,NA,283.7,0.8791
quinidine,6474,71010,0.561,NA,NA,NA,NA,13010,1.328,10740,1.234,NA,NA,388.3,1.758
